"decile","mean_pred","obs_rate","n"
1,0.336376074329019,0.516666666666667,120
2,0.535003780076901,0.7,120
3,0.623641528189182,0.733333333333333,120
4,0.685611784954866,0.758333333333333,120
5,0.732722567518552,0.833333333333333,120
6,0.768317072093487,0.85,120
7,0.801625650127729,0.85,120
8,0.832580674688021,0.891666666666667,120
9,0.865762640949057,0.840336134453782,119
10,0.903250302587237,0.899159663865546,119
